run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
community_size_350_6p,18,6,350,3.333333333333333,1.5,56.0,150.0,-1867.9373473769904,-1874.0505059576528,-6.11315858066223,1.0188597634437049,0.13,16.44,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1424999999999999,0.0,0.1424999999999999,1.0,24,24,0.0,dinkelbach,-0.0,True,-0.0,True,1.0188597634437049,0,1.55,0.3505985887174752,52.58978830762128,0.6110363551034801,0.5737769705341029,0.2604377663860049,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,1.67,14
community_size_350_6p,19,6,350,3.333333333333333,1.5,56.0,150.0,-1924.5709814510092,-1925.519529214053,-0.9485477630432796,0.1580912938405466,0.14,18.74,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1424999999999999,0.0,0.1424999999999999,1.0,24,23,0.063938978354372,dinkelbach,-0.0,True,0.1580912938405489,True,0.1580912938405466,1,0.39,0.0440550989635674,6.60826484453511,0.6027903218929875,0.073085279181686,0.5587352229294201,ok,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,2.46,14
community_size_350_6p,20,6,350,3.333333333333333,1.5,56.0,150.0,-2016.6273672151715,-2020.0769071733027,-3.449539958131254,0.574923326355209,0.14,20.05,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0505875,0.1425,0.0505875,0.0919124999999999,0.6449999999999998,24,24,2.8421709430404014e-14,dinkelbach,-0.0,True,-0.0,True,0.574923326355209,0,0.41,0.2498672343404843,37.48008515107266,0.6194929150236703,0.4033415528746397,0.3696256806831859,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,2.22,15
community_size_350_6p,21,6,350,3.333333333333333,1.5,56.0,150.0,-1873.6009459633533,-1878.042803383279,-4.441857419925782,0.7403095699876303,0.16,19.49,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,21,0.038233762298006,dinkelbach,-0.0,True,-0.0,True,0.7403095699876303,0,1.77,0.4969311367108991,74.53967050663486,0.5896189477497217,0.8428004876835027,0.0926878110388225,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,4.26,14
community_size_350_6p,22,6,350,3.333333333333333,1.5,56.0,150.0,-2117.7401317557174,-2121.398256265085,-3.6581245093675534,0.6096874182279256,0.34,19.2,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0701152091198173,0.1425,0.0701152091198173,0.0723847908801826,0.5079634447732115,24,24,0.0,dinkelbach,-0.0,True,-0.0,True,0.6096874182279256,0,1.02,0.1270089124570312,19.05133686855469,0.3221308636765436,0.3942773784773469,0.1951219512195124,ok,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,1.92,14
community_size_350_6p,23,6,350,3.333333333333333,1.5,56.0,150.0,-1936.4309799856253,-1940.4787709701832,-4.047790984557878,0.6746318307596463,0.44,19.57,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,5.400124791776761e-13,dinkelbach,-0.0,True,-0.0,True,0.6746318307596463,0,1.35,0.5984186422726101,89.76279634089151,0.6027903218929875,0.9927475948740372,0.0043716796203774,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,3.41,14
community_size_350_6p,24,6,350,3.333333333333333,1.5,56.0,150.0,-1596.1883280350569,-1600.469005821165,-4.280677786108299,0.7134462976847166,0.41,18.05,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,0.0,dinkelbach,-0.0,True,-0.0,True,0.7134462976847166,0,1.74,0.4265252851645239,63.97879277467859,0.6474267748199753,0.6588008123129049,0.2209014896554514,ok,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,2.23,15
community_size_350_6p,25,6,350,3.333333333333333,1.5,56.0,150.0,-1684.700910714027,-1686.3589619095856,-1.658051195558528,0.2763418659264213,0.12,17.21,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,1.4210854715202006e-13,dinkelbach,-0.0,True,0.2763418659264189,True,0.2763418659264213,1,0.37,0.5592527251823286,83.8879087773493,0.6194929150236703,0.9027588720057598,0.0602401898413417,ok,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,1.81,14
community_size_350_6p,26,6,350,3.333333333333333,1.5,56.0,150.0,-1730.5893336536767,-1736.5278125313755,-5.938478877698799,0.9897464796164664,0.13,18.11,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,2.8421709430404014e-14,dinkelbach,-0.0,True,-0.0,True,0.9897464796164664,0,1.0,0.5184333537898191,77.76500306847286,0.6110363551034801,0.848449277133472,0.0926030013136609,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,3.48,15
community_size_350_6p,27,6,350,3.333333333333333,1.5,56.0,150.0,-1968.0437513808336,-1970.977839572058,-2.934088191224191,0.4890146985373652,0.14,18.74,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,0.0,dinkelbach,-0.0,True,-0.0,True,0.4890146985373652,0,0.52,0.2566859133168204,38.502886997523056,0.6194929150236703,0.4143484244803875,0.3628070017068499,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,2.67,14
community_size_350_6p,28,6,350,3.333333333333333,1.5,56.0,150.0,-1087.6934369707865,-1090.663719140424,-2.9702821696378123,0.4950470282729687,0.66,17.79,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0919124999999998,0.1425,0.0919124999999998,0.0505875000000001,0.3550000000000011,24,20,3.410605131648481e-13,dinkelbach,-0.0,True,0.4950470282729071,True,0.4950470282729687,2,0.39,0.6027903218929875,90.41854828394813,0.6275267080835029,0.9605811420105744,0.0247363861905153,ok,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.82,13
community_size_350_6p,29,6,350,3.333333333333333,1.5,56.0,150.0,-2076.810121133596,-2080.751656907068,-3.941535773471969,0.6569226289119948,0.25,18.25,0.1425,191.52,0.1425,0.0,1.0,0.0,0.057090523037574,0.1425,0.057090523037574,0.0854094769624259,0.5993647506135154,24,24,2.8421709430404014e-14,dinkelbach,-0.0,True,-0.0,True,0.6569226289119948,0,0.78,0.2410503626908731,36.157554403630975,0.6194929150236703,0.3891091517675594,0.3784425523327971,ok,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,1.76,14
community_size_350_6p,30,6,350,3.333333333333333,1.5,56.0,150.0,-2246.9325955889444,-2249.3693793224884,-2.4367837335439617,0.4061306222573269,0.19,23.01,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,-2.8421709430404014e-14,dinkelbach,-0.0,True,-0.0,True,0.4061306222573269,0,2.07,0.0045164978960226,0.6774746844033966,0.6027903218929875,0.0074926516435087,0.5982738239969649,ok,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.52,14
community_size_350_6p,31,6,350,3.333333333333333,1.5,56.0,150.0,-2009.0580296052135,-2011.9388506769087,-2.8808210716954363,0.4801368452825727,0.14,18.39,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,2.8421709430404014e-14,dinkelbach,-0.0,True,-0.0,True,0.4801368452825727,0,0.79,0.2298113522100155,34.47170283150233,0.6110363551034801,0.3761009476614473,0.3812250028934645,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,1.92,14
