scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,profit_ip_u7,profit_ip_u8,profit_ip_u9,profit_ip_u10,profit_ip_u11,profit_ip_u12,profit_ip_u13,profit_ip_u14,profit_ip_u15,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp_smooth,solve_time_chp_smooth_total,profit_chp_smooth_u1,profit_chp_smooth_u2,profit_chp_smooth_u3,profit_chp_smooth_u4,profit_chp_smooth_u5,profit_chp_smooth_u6,profit_chp_smooth_u7,profit_chp_smooth_u8,profit_chp_smooth_u9,profit_chp_smooth_u10,profit_chp_smooth_u11,profit_chp_smooth_u12,profit_chp_smooth_u13,profit_chp_smooth_u14,profit_chp_smooth_u15,violation_chp_smooth,blocking_coalition_chp_smooth,isimp_chp_smooth
15player_baseline,20,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,21,1.281741619,1306.180343,66.79343791,430.6010302,78.3395132,90.89307567,209.7919958,360.0327284,72.4891994,440.9544911,726.2161162,38.82174857,97.91866293,100.8499176,334.7693954,300.5942203,-9.07E-12,,TRUE,28.15317869,29.43492031,1306.180343,67.25931395,430.6010302,78.3395132,89.52380194,209.7919958,360.0327284,73.83132109,440.9544911,726.9525848,38.82174857,97.91866293,99.67472497,334.7693954,300.5942203,1.12E-10,,TRUE
15player_baseline,21,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,22,1.142469168,1540.149657,66.45788511,430.6119961,77.93060759,90.89307567,209.7919958,360.0829996,72.4891994,440.9654569,843.5363261,38.81094857,97.52807869,100.8499176,334.7726852,300.1853147,-5.80E-08,,TRUE,23.6522541,24.79472327,1538.983974,67.42510139,430.8266302,78.40796815,89.59472922,209.7919958,359.9641996,73.75608401,441.178366,843.1353849,38.69214857,98.00543924,99.79437227,334.8370754,300.6626753,-5.48E-17,,TRUE
15player_baseline,22,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,23,1.340727329,1450.997298,15.90000826,430.6119961,77.93060759,90.89307567,209.7919958,425.631548,22.52313878,440.9654569,748.5792438,57.39109948,132.6516312,100.8499176,334.7726852,300.1853147,15.75420239,"['u2', 'u3', 'u5', 'u6', 'u9', 'u10', 'u14', 'u15']",TRUE,26.79545188,28.13617921,1448.769687,27.52656195,430.6119961,77.93060759,87.68089954,209.7919958,414.413229,31.26179929,440.9654569,757.4911114,54.01187861,126.3961393,97.86565409,334.7726852,300.1853147,1.180940274,"['u3', 'u5', 'u6', 'u8', 'u9', 'u10', 'u14', 'u15']",TRUE
15player_baseline,23,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,24,1.290299892,994.1533777,65.56487623,431.5407766,80.2991868,90.89307567,209.7919958,358.6849867,73.71776109,441.8942374,570.2026337,39.13328191,99.3814002,100.8499176,335.0513193,302.5538939,0,,TRUE,25.94876599,27.23906589,994.1533777,67.42510139,431.5407766,80.2991868,89.49132391,209.7919958,358.6849867,73.70232046,441.8942374,570.9347936,39.13328191,99.3814002,99.67472497,335.0513193,302.5538939,-1.89E-11,,TRUE
15player_baseline,24,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,25,1.376483679,1128.145495,39.5070241,430.8266302,78.40796815,90.89307567,209.7919958,396.9550818,45.81178189,441.1800911,610.185722,48.67006043,117.2048368,100.8499176,334.8370754,300.6626753,7.88E-12,,TRUE,23.5991137,24.97559738,1128.145495,40.41213108,430.8266302,78.40796815,89.59472922,209.7919958,396.9550818,46.63042755,441.1800911,610.8158612,48.67006043,117.2048368,99.79437227,334.8370754,300.6626753,0,,TRUE
15player_baseline,25,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,26,1.566498041,1134.34905,66.45788511,430.3466302,77.76530504,90.89307567,209.7919958,360.3427009,73.46149766,440.7000911,639.6637243,39.13328191,97.3452265,100.8499176,334.6930754,300.0200122,0,,TRUE,24.26446843,25.83096647,1134.34905,67.42510139,430.3466302,77.76530504,89.52675449,209.7919958,360.3427009,73.66688988,440.7000911,641.0326296,39.13328191,97.3452265,99.67472497,334.6930754,300.0200122,-6.13E-12,,TRUE
15player_baseline,26,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,27,1.361564159,1361.222253,66.20162168,433.4217522,84.21780515,90.89307567,209.7919958,357.3004476,73.71776109,443.775213,753.1003258,38.85828191,102.9671568,100.8499176,335.615612,306.4725123,4.38E-14,,TRUE,30.93654656,32.29811072,1361.222253,67.42510139,433.4217522,84.21780515,89.52675449,209.7919958,357.3004476,73.66688988,443.775213,754.4692311,38.85828191,102.9671568,99.67472497,335.615612,306.4725123,2.17E-12,,TRUE
15player_baseline,27,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,28,1.5971241,540.5450818,15.65735834,430.5963863,77.89625727,90.89307567,209.7919958,427.0306137,21.98986528,440.9498472,297.3119676,57.8200777,133.3913973,100.8499176,334.7680023,300.1509644,17.80699716,"['u3', 'u5', 'u6', 'u8', 'u9', 'u10', 'u11', 'u14', 'u15']",TRUE,25.08167601,26.67880011,540.5450818,24.89235838,430.5963863,77.89625727,87.54275771,209.7919958,413.2169863,31.68428346,440.9498472,309.6987352,54.05028535,126.1681387,97.69072819,334.7680023,300.1509644,4.415559475,"['u2', 'u3', 'u5', 'u6', 'u7', 'u8', 'u9', 'u10', 'u13', 'u14', 'u15']",TRUE
15player_baseline,28,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,29,0.935239315,1528.131417,61.04660153,430.6119961,77.93060759,97.76391228,209.7919958,360.0829996,69.94256938,440.9654569,831.6434733,38.81094857,97.52807869,107.7207542,334.7726852,300.1853147,0.491871204,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u9', 'u10', 'u11', 'u12', 'u14', 'u15']",TRUE,21.92505169,22.860291,1526.928585,67.42510139,430.8266302,78.40796815,89.83753033,209.7919958,359.9641996,73.52852039,441.1719795,837.0545892,38.69214857,98.00543924,99.79437227,334.8370754,300.6626753,0.045975405,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9', 'u10', 'u11', 'u12', 'u13', 'u14', 'u15']",TRUE
15player_baseline,29,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,30,1.011070013,1699.504004,61.04660153,430.6119961,78.3718603,97.76391228,209.7919958,360.021071,67.52729187,440.9654569,919.6945716,38.81094857,97.95075279,107.7207542,334.7726852,300.6265674,0.54234427,"['u1', 'u2', 'u3', 'u5', 'u6', 'u7', 'u8', 'u9', 'u11', 'u12', 'u14', 'u15']",TRUE,21.34543467,22.35650468,1698.206588,67.36951067,430.8266302,78.91642704,89.83753033,209.7919958,359.8928387,73.6512218,441.1800911,922.5204161,38.69214857,98.49248987,99.79437227,334.8370754,301.1711342,0.143927581,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9', 'u10', 'u11', 'u12', 'u13', 'u14', 'u15']",TRUE
15player_baseline,30,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,31,1.570526361,1408.368932,66.20162168,431.5407766,80.2991868,90.89307567,209.7919958,358.6849867,73.71776109,441.8942374,776.6736653,39.13328191,99.3814002,100.8499176,335.0513193,302.5538939,3.23E-11,,TRUE,27.13935399,28.70988035,1408.368932,67.42510139,431.5407766,80.2991868,89.52675449,209.7919958,358.6849867,73.70232046,441.8942374,778.00714,39.13328191,99.3814002,99.67472497,335.0513193,302.5538939,1.75E-12,,TRUE
