sensitivity_analysis,violation_lp,solve_time,profit_lp
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 1.0, 'e_H_cap': 0.5}",-2.441071984904397e-05,0.015456676483154297,"{'u1': np.float64(1055.2316355760036), 'u2': np.float64(32.81492468118373), 'u3': np.float64(374.53445104173755), 'u4': np.float64(-16.996929050905138), 'u5': np.float64(-212.31624893439718), 'u6': np.float64(-36.07510051667179), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 1.0, 'e_H_cap': 1.0}",-1.315789469735762e-05,0.014238357543945312,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(32.80083162682382), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-212.31624893439718), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 1.0, 'e_H_cap': 1.5}",-1.3157894894533229e-05,0.012918233871459961,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(32.800831626823836), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-212.31624893439718), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 1.0, 'e_H_cap': 2.0}",-1.3157894894533229e-05,0.013141632080078125,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(32.800831626823836), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-212.31624893439718), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 1.5, 'e_H_cap': 0.5}",-1.3157894889204158e-05,0.017644643783569336,"{'u1': np.float64(1055.41431839807), 'u2': np.float64(32.80083162682384), 'u3': np.float64(374.46328564414637), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-212.31624893439718), 'u6': np.float64(-36.112339984944434), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 1.5, 'e_H_cap': 1.0}",-1.3157894956705718e-05,0.013814926147460938,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(32.80083162682384), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-212.31624893439718), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 1.5, 'e_H_cap': 1.5}",-1.3157894942494863e-05,0.012033700942993164,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(32.80083162682384), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-212.31624893439718), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 1.5, 'e_H_cap': 2.0}",-1.3157894942494863e-05,0.011974811553955078,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(32.80083162682384), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-212.31624893439718), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 2.0, 'e_H_cap': 0.5}",-1.3157894889204158e-05,0.013981819152832031,"{'u1': np.float64(1055.41431839807), 'u2': np.float64(32.80083162682384), 'u3': np.float64(374.46328564414637), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-212.31624893439718), 'u6': np.float64(-36.112339984944434), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 2.1, 'e_E_cap': 2.0, 'e_H_cap': 1.0}",-1.3157894956705718e-05,0.01602029800415039,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(32.80083162682384), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-212.31624893439718), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
