day,violation_ip,violation_chp,blocking_coalition_ip,blocking_coalition_chp,profit_ip_u1,profit_chp_u1,profit_ip_u2,profit_chp_u2,profit_ip_u3,profit_chp_u3,profit_ip_u4,profit_chp_u4,profit_ip_u5,profit_chp_u5,profit_ip_u6,profit_chp_u6
19,-4.587964281862002e-12,-2.2822531043204767e-12,,,1244.16364810301,1244.1636481030118,85.18080789999583,85.18080789999566,420.9857553959956,420.98575539599335,11.69907426880468,11.699074268804111,81.3822405906377,81.38224059063708,134.72189892093968,134.7218989209416
20,0.14210633906375916,0.1421063390682427,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6']","['u1', 'u2', 'u3', 'u4', 'u5', 'u6']",1386.730772188205,1386.7307721882096,41.04982734776245,41.049827347757166,433.22468454501006,433.22468454500836,37.20889408751964,37.20889408751657,94.2831108042023,94.28311080420809,134.7218989209398,134.72189892093968
21,-1.2511002142815315e-11,-1.5751077017881372e-11,,,1255.1747716251816,1255.1747716251787,47.95961794916281,47.95961794914184,430.52019567161915,430.52019567162256,34.24481276569645,34.24481276570327,79.65197307587567,79.65197307588915,134.72189892093968,134.72189892094048
22,8.264326722962068e-13,7.980109628658028e-13,,,1300.1843376144013,1300.1843376144814,108.12620874772279,108.1262087476756,462.82433960197613,462.8243396019558,105.4862553871069,105.48625538706528,113.26584063870433,113.26584063873167,134.72189892093968,134.72189892094116
23,-1.3448228641799176e-11,-1.475562727559776e-11,,,1195.8849086779312,1195.8849086779294,68.91040097120391,68.91040097121574,467.3477284474493,467.3477284474493,114.89439552015642,114.89439552015699,98.41625615483832,98.41625615482684,134.72189892093968,134.72189892094013
24,-2.304056788686615e-11,-2.3381628400030997e-11,,,915.4153124507319,915.4153124507345,56.712246878898895,56.71224687888713,439.36457551563115,439.3645755156307,51.10077089759682,51.10077089759591,81.27020243411272,81.27020243412278,134.72189892093968,134.7218989209399
25,-2.175732401873828e-11,-2.0807208164690142e-11,,,945.6613216415299,945.303173426397,56.52780047572979,56.5203475323933,454.8084276164667,454.8780657556156,86.27541563224162,86.42160891664395,98.12008604177436,98.26985577669257,134.72189892093968,134.72189892093945
26,-1.638696123240635e-11,-1.5512993667421426e-11,,,1071.5656809147338,1071.565680914954,50.222464870978314,50.22246487075651,433.0138728185667,433.01387281856114,38.370077662460005,38.370077662458925,79.65197307587573,79.65197307587863,134.72189892093968,134.72189892094514
27,-9.042476117475806e-12,-1.0541721289929617e-11,,,1331.8232718012846,1331.8232718013123,49.2312608837318,49.23126088376255,431.0888809181946,431.0888809181886,36.47162276154938,36.471622761538015,79.65197307587567,79.65197307583082,134.72189892093968,134.72189892094332
28,-1.2685356946360758e-11,-1.2457983270917526e-11,,,464.83847075285036,464.8384707829822,62.00887345634859,62.00887344686999,432.07258466428823,432.07258465773714,35.76762430994472,35.76762429584085,46.31736521737918,46.317365217380484,134.72189892093968,134.72189892094013
29,-1.509356528650585e-11,-2.0365792385845793e-11,,,1343.863370720423,1343.8633707204272,56.74271905624107,56.742719056233,457.95631777003473,457.95631777003405,98.30357863375696,98.30357863375536,110.97179238692468,110.97179238693087,134.72189892093968,134.72189892093968
30,-4.3105548940567696e-11,-4.31481815047133e-11,,,1342.8846165824111,1342.8846165824596,133.85594394707115,133.85594394723725,485.7948368990126,485.7948368990003,153.36455508033885,153.36455508031474,118.52042283155066,118.52042283137109,134.72189892093968,134.72189892094138
31,-2.472251350115492e-11,-2.3287217174919516e-11,,,1286.310589850831,1286.3105898508315,73.8935809605824,73.8935809605824,447.954895888749,447.95489588874614,69.50235337097507,69.50235337097462,81.27020243411272,81.27020243411266,134.72189892093968,134.7218989209423
