scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,profit_ip_u7,profit_ip_u8,profit_ip_u9,profit_ip_u10,profit_ip_u11,profit_ip_u12,profit_ip_u13,profit_ip_u14,profit_ip_u15,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp_smooth,profit_chp_smooth_u1,profit_chp_smooth_u2,profit_chp_smooth_u3,profit_chp_smooth_u4,profit_chp_smooth_u5,profit_chp_smooth_u6,profit_chp_smooth_u7,profit_chp_smooth_u8,profit_chp_smooth_u9,profit_chp_smooth_u10,profit_chp_smooth_u11,profit_chp_smooth_u12,profit_chp_smooth_u13,profit_chp_smooth_u14,profit_chp_smooth_u15,violation_chp_smooth,blocking_coalition_chp_smooth,isimp_chp_smooth
15player_baseline,10,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,11,4.876382351,1088.09886,42.91297857,430.3466302,77.77465809,90.89307567,209.7919958,388.900367,50.09356517,440.7000911,593.5855389,47.73552096,113.2783407,100.8499176,334.6930754,300.0293652,2.33E-11,,TRUE,46.37781119,1088.09886,43.97067084,430.3466302,77.77465809,89.71788304,209.7919958,388.900367,50.5694616,440.7000911,594.6288946,47.73552096,113.2783407,99.44816585,334.6930754,300.0293652,1.42E-14,,TRUE
15player_baseline,11,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,12,3.504246473,1096.339602,66.20162168,430.6119961,77.93060759,90.89307567,209.7919958,360.0829996,73.38220828,440.9654569,620.994553,38.81094857,97.52807869,100.8499176,334.7726852,300.1853147,2.09E-09,,TRUE,35.34072924,1096.339602,67.42510139,430.6119961,77.93060759,89.66156546,209.7919958,360.0829996,73.81057092,440.9654569,621.9107837,38.81094857,97.52807869,99.51335479,334.7726852,300.1853147,2.10E-09,,TRUE
15player_baseline,12,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,13,6.019648314,1396.856998,65.90042903,433.207118,83.74641761,90.89307567,209.7919958,357.5754476,73.12594486,443.5605789,771.8107071,39.13328191,102.4957693,100.8499176,335.5512218,306.0011247,0,,TRUE,48.52240515,1396.856998,67.42510139,433.207118,83.74641761,89.65780653,209.7919958,357.5754476,73.85810471,443.5605789,772.1308192,39.13328191,102.4957693,99.50824236,335.5512218,306.0011247,1.53E-10,,TRUE
15player_baseline,13,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,14,3.211154222,1195.009159,66.20162168,430.8266302,78.40796815,90.89307567,209.7919958,359.9641996,72.4891994,441.1800911,671.2844501,38.69214857,98.00543924,100.8499176,334.8370754,300.6626753,1.80E-10,,TRUE,39.16898513,1195.009159,67.25931395,430.8266302,78.40796815,89.83753033,209.7919958,359.9641996,73.75608401,441.1800911,671.313765,38.69214857,98.00543924,99.55157116,334.8370754,300.6626753,1.68E-11,,TRUE
15player_baseline,14,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,15,6.275122404,1633.88671,66.20162168,430.6119961,77.93060759,90.89307567,209.7919958,360.0829996,73.71776109,440.9654569,889.4325544,38.81094857,97.52807869,100.8499176,334.7726852,300.1853147,-1.11E-14,,TRUE,50.64282846,1632.731881,67.42510139,430.8266302,78.40796815,89.59472922,209.7919958,359.9641996,73.8091853,441.1800911,889.9382314,38.69214857,98.00543924,99.79437227,334.8370754,300.6626753,2.86E-11,,TRUE
15player_baseline,15,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,16,4.909081936,1353.595604,66.45788511,430.3466302,77.77465809,90.89307567,209.7919958,360.3427009,73.12594486,440.7000911,749.6225544,39.13328191,97.35418575,100.8499176,334.6930754,300.0293652,8.46E-12,,TRUE,46.85782361,1353.595604,67.42510139,430.3466302,77.77465809,89.65780653,209.7919958,360.3427009,73.85810471,440.7000911,750.5001226,39.13328191,97.35418575,99.50824236,334.6930754,300.0293652,-1.11E-14,,TRUE
15player_baseline,16,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,17,4.256238699,1073.7452,15.26326281,430.6119961,77.93060759,90.89307567,209.7919958,425.631548,23.08059486,440.9654569,560.0324841,57.39109948,132.6516312,100.8499176,334.7726852,300.1853147,16.34480925,"['u2', 'u3', 'u6', 'u9', 'u10', 'u13', 'u14', 'u15']",TRUE,57.21203756,1072.662117,25.12124211,430.6119961,77.93060759,87.90881216,209.7919958,413.1038405,32.91418132,440.9654569,569.9971538,54.01187861,126.1493684,97.6702195,334.7726852,300.1853147,0.519539369,"['u2', 'u4', 'u5', 'u8', 'u10', 'u11', 'u12', 'u13']",TRUE
15player_baseline,17,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,18,4.986353636,1258.833067,66.53717448,430.3466302,77.77465809,90.89307567,209.7919958,360.3427009,73.38220828,440.7000911,701.9057327,39.13328191,97.35418575,100.8499176,334.6930754,300.0293652,1.33E-10,,TRUE,53.34345341,1258.833067,67.25931395,430.3466302,77.77465809,89.52380194,209.7919958,360.3427009,73.81715208,440.7000911,703.2931158,39.13328191,97.35418575,99.67472497,334.6930754,300.0293652,0,,TRUE
15player_baseline,18,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,19,3.953526974,1267.219809,66.45788511,430.5791867,77.85885367,90.89307567,209.7919958,360.1096663,73.12594486,440.9326475,706.4346567,38.83761524,97.45632477,100.8499176,334.7628424,300.1135608,0,,TRUE,46.56014657,1267.219809,67.42510139,430.5791867,77.85885367,89.71788304,209.7919958,360.1096663,73.69231728,440.9326475,707.4780124,38.83761524,97.45632477,99.44816585,334.7628424,300.1135608,1.94E-11,,TRUE
15player_baseline,19,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,20,6.404416323,1428.455113,66.53717448,430.4539473,77.58652619,90.89307567,209.7919958,360.2636996,73.38220828,440.8074081,786.7167558,38.99578191,97.18399729,100.8499176,334.7252706,299.8412333,0,,TRUE,50.3399744,1428.455113,67.42510139,430.4539473,77.58652619,89.6943879,209.7919958,360.2636996,73.8093122,440.8074081,787.9437565,38.99578191,97.18399729,99.50657389,334.7252706,299.8412333,0,,TRUE
