sensitivity_analysis,violation_ip,solve_time,profit_ip
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 22}",1.57191471123204,1.3013854026794434,"{'u1': np.float64(1194.1686089719853), 'u2': np.float64(75.72829865258159), 'u3': np.float64(495.1022812750033), 'u4': np.float64(174.0841103596125), 'u5': np.float64(130.1852155042165), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 23}",-0.0,0.16372275352478027,"{'u1': np.float64(1148.3885599757864), 'u2': np.float64(72.05782979747369), 'u3': np.float64(476.7198727272065), 'u4': np.float64(138.43262430605466), 'u5': np.float64(116.90219347331356), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 24}",-0.0,0.15994954109191895,"{'u1': np.float64(871.5913840821543), 'u2': np.float64(82.7870509886143), 'u3': np.float64(446.3890860205155), 'u4': np.float64(68.45740762812034), 'u5': np.float64(81.27020243411249), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 25}",-0.0,0.1494743824005127,"{'u1': np.float64(947.6986923641903), 'u2': np.float64(77.76737589858817), 'u3': np.float64(454.92102020905907), 'u4': np.float64(86.51105706181829), 'u5': np.float64(106.25756933494165), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 26}",-0.0,0.2123885154724121,"{'u1': np.float64(1058.0810819006135), 'u2': np.float64(75.56569921363965), 'u3': np.float64(437.9688684578905), 'u4': np.float64(51.71504860464165), 'u5': np.float64(79.65197307587556), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 27}",6.3649300175272785,0.23406004905700684,"{'u1': np.float64(1312.8279096698468), 'u2': np.float64(64.91383876671264), 'u3': np.float64(433.0742781018521), 'u4': np.float64(43.853469884073775), 'u5': np.float64(80.932538664557), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 28}",-0.0,0.12754440307617188,"{'u1': np.float64(453.6566834403512), 'u2': np.float64(72.5596934573201), 'u3': np.float64(434.89294031344537), 'u4': np.float64(41.81759055822863), 'u5': np.float64(79.65676037586587), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 29}",-0.0,0.896479606628418,"{'u1': np.float64(1221.3147295484562), 'u2': np.float64(69.77346815139217), 'u3': np.float64(483.79348828266984), 'u4': np.float64(152.78123182130605), 'u5': np.float64(125.20715667650512), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 30}",-0.0,0.1510024070739746,"{'u1': np.float64(1327.2304352532635), 'u2': np.float64(81.1454549312636), 'u3': np.float64(493.3983304837724), 'u4': np.float64(170.16215914020324), 'u5': np.float64(131.3311290205894), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 31}",-0.0,0.13985323905944824,"{'u1': np.float64(1265.8856651056321), 'u2': np.float64(86.8741270556176), 'u3': np.float64(449.0271223406991), 'u4': np.float64(73.27458596535143), 'u5': np.float64(81.27498973410286), 'u6': np.float64(134.72189892093957)}"
