run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,product,n_blocks,block_hours,r_sym_mwh,r_up_mwh,r_dn_mwh,pool_standalone_mwh,pool_gain_mwh,pool_blocks_with_gain,mech_no_pooling_mwh,mech_full_mwh,mech_gain_time_mwh,mech_gain_direction_mwh,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,stab_certified,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks
baseline_60p,11,60,700,3.3333333333333335,1.5,56.0,150.0,-22721.171819481446,-22728.336367889606,-7.164548408160044,0.11940914013600074,587.28,151.22,,8504.983717246714,symmetric,6,4,151.87470923654845,,,138.34190608494808,13.532803151600373,3,75.10655976180306,151.87470923654837,21.38888419607436,55.37926527867094,,,1.0978214305019813,,,,,,,24,17,0.7972524177293963,dinkelbach,-0.0,True,0.027521437255097186,True,0.11940914013600074,23,3617.44,False,9.430884944080196,1414.6327416120293,15.489331325857867,0.6088632714787559,6.058446381777671,ok
baseline_60p,12,60,700,3.3333333333333335,1.5,56.0,150.0,-22809.736879688222,-22815.517882782166,-5.781003093943582,0.09635005156572636,730.08,171.81,,9431.295259706747,symmetric,6,4,168.41598678047762,,,138.84334555525132,29.57264122522628,5,92.68551811646093,168.41598678047745,16.227943181209707,59.50252548280682,,,1.2129928597367179,,,,,,,23,21,7.514663593610749e-07,dinkelbach,-0.0,True,0.09219221334969915,True,0.09635005156572636,45,3650.25,False,10.141501482037961,1521.2252223056942,15.631376208755123,0.648791337793899,5.4898747267171615,ok
baseline_60p,13,60,700,3.3333333333333335,1.5,56.0,150.0,-24698.278696369078,-24704.280375214505,-6.001678845426795,0.10002798075711325,174.58,153.65,,8788.451346054695,symmetric,6,4,156.93663117954813,,,137.45089632322643,19.485734856321695,3,81.13139539805894,156.93663117954807,19.227387030118503,56.577848751370624,,,1.1417650621244366,,,,,,,24,18,1.6678748217564134,dinkelbach,-0.0,True,0.044292852790455244,True,0.10002798075711325,42,3619.03,False,9.136820819054083,1370.5231228581124,15.461609672337142,0.5909359382808027,6.324788853283058,ok
baseline_60p,14,60,700,3.3333333333333335,1.5,56.0,150.0,-23424.619586456367,-23432.04854528607,-7.428958829703333,0.12381598049505556,1653.38,158.53,,9465.931040793024,symmetric,6,4,169.034482871304,,,138.82735086024508,30.207132011058896,5,90.85532018465348,169.0344828713039,12.915995048202348,65.26316763844808,,,1.2175877579157142,,,,,,,23,16,1.570767950552181,dinkelbach,-0.0,True,0.10117368409772744,True,0.12381598049505556,31,204.37,True,9.922312460624648,1488.346869093697,15.53666203954803,0.6386386236224839,5.614349578923383,ok
baseline_60p,15,60,700,3.3333333333333335,1.5,56.0,150.0,-26182.847482744903,-26191.68033062401,-8.832847879108158,0.1472141313184693,276.49,181.43,,9115.626484769691,symmetric,6,4,162.77904437088733,,,139.32241917099827,23.45662519988906,5,94.24569400044977,162.77904437088728,9.76351896568088,58.7698314047566,,,1.1683621727175109,,,,,,,23,19,0.9045742336274998,dinkelbach,2.5115558489799906e-06,True,0.11763649434500179,True,0.1472141313184693,37,3620.25,False,7.825468613797889,1173.8202920696833,15.402647909914997,0.5080599556366199,7.577179296117108,ok
baseline_60p,16,60,700,3.3333333333333335,1.5,56.0,150.0,-24414.979314325952,-24422.346801205647,-7.367486879695207,0.12279144799492012,492.7,157.7,,8667.075078923897,symmetric,6,4,154.76919783792673,,,137.28344592473917,17.485751913187553,3,77.35945058502186,154.76919783792667,15.002877921052985,62.40686933185182,,,1.1273697043034125,,,,,,,22,17,2.5714858126430045,dinkelbach,-0.0,True,0.09589993598097321,True,0.12279144799492012,37,1237.3,True,8.73758660954531,1310.6379914317965,15.420544577182872,0.566619847036657,6.682957967637561,ok
baseline_60p,17,60,700,3.3333333333333335,1.5,56.0,150.0,-22608.405697635033,-22616.02946980968,-7.623772174647456,0.1270628695774576,4965.04,174.4,,9424.135234927291,symmetric,6,4,168.2881291951302,,,138.29060603576255,29.997523159367642,5,91.53844863233707,168.28812919513013,18.128571458954568,58.62110910383852,,,1.2169165644672217,,,,,,,23,22,1.6675248407664185,dinkelbach,-0.0,True,0.10776503949557537,True,0.1270628695774576,32,330.89,True,10.326568944546858,1548.9853416820288,15.559601784011292,0.6636782282666267,5.233032839464434,ok
baseline_60p,18,60,700,3.3333333333333335,1.5,56.0,150.0,-23817.891240536715,-23824.70865203212,-6.817411495405395,0.11362352492342324,250.98,168.23,,8840.094317889723,symmetric,6,4,157.85882710517362,,,137.71773113834865,20.141095966824974,3,90.45306771204444,157.8588271051736,12.18472522290605,55.22103417022309,,,1.1462491125895153,,,,,,,24,15,0.8398403215760482,dinkelbach,-0.0,True,0.09926660793378786,True,0.11362352492342324,37,756.77,True,9.62249216284602,1443.3738244269032,15.460970632184633,0.6223730962152642,5.838478469338613,ok
baseline_60p,19,60,700,3.3333333333333335,1.5,56.0,150.0,-23731.357056159755,-23740.39157904867,-9.034522888916399,0.15057538148194,730.73,165.4,,9201.36901637792,symmetric,6,4,164.31016100674856,,,137.91241917099825,26.397741835750292,5,90.89411700057069,164.3101610067484,14.796810012610495,58.61923399356721,,,1.1914094611234367,,,,,,,23,21,2.0798265400371747,dinkelbach,-0.0,True,0.14372097611559528,True,0.15057538148194,29,2521.0,True,9.94849663432838,1492.274495149257,15.497851543596237,0.6419274701620904,5.549354909267857,ok
baseline_60p,20,60,700,3.3333333333333335,1.5,56.0,150.0,-24939.860015026643,-24948.03928957167,-8.179274545025692,0.13632124241709487,473.33,164.29,,9118.503014998747,symmetric,6,4,162.83041098212047,,,138.1759601901625,24.654450791957988,5,94.51259434706856,162.8304109821204,9.365272390796147,58.95254424425572,,,1.1784279317330428,,,,,,,23,17,3.833205075508886,dinkelbach,-0.0,True,0.13278251091469429,True,0.13632124241709487,46,3616.25,False,9.0429031255512,1356.43546883268,15.524362333015413,0.5824975565224861,6.481459207464212,ok
baseline_60p,21,60,700,3.3333333333333335,1.5,56.0,150.0,-24108.97140933173,-24119.210914048468,-10.239504716737429,0.1706584119456238,228.98,184.01,,9257.91017383858,symmetric,6,4,165.31982453283177,,,139.14471521762434,26.175109315207433,5,98.24715874262785,165.31982453283175,11.262178760196068,55.810487030007806,,,1.1881142900344377,,,,,,,24,18,2.0495381093896867,dinkelbach,0.000819869129549528,True,0.13208386155211826,True,0.1706584119456238,4,350.34,True,10.106018226558488,1515.9027339837733,15.514362035048789,0.6513976020237114,5.408343808490301,ok
baseline_60p,22,60,700,3.3333333333333335,1.5,56.0,150.0,-25507.115375204354,-25511.895158479918,-4.779783275564114,0.07966305459273523,46.85,173.32,,9293.769742632041,symmetric,6,4,165.96017397557216,,,138.92628067595837,27.033893299613812,5,94.46194308958532,165.96017397557213,14.578059359220752,56.92017152676607,,,1.1945916436262307,,,,,,,23,17,1.0921304667535878,dinkelbach,-0.0,True,0.07148809505952158,True,0.07966305459273523,36,2966.43,True,8.784736911337149,1317.7105367005722,15.643347969547579,0.5615637348499902,6.85861105821043,ok
baseline_60p,23,60,700,3.3333333333333335,1.5,56.0,150.0,-25109.756885335766,-25121.924008049147,-12.167122713381104,0.20278537855635173,375.05,171.69,,9495.307234282687,symmetric,6,4,169.55905775504797,,,139.2884337908813,30.270623964166685,5,93.61829185463179,169.55905775504795,10.689199202378436,65.2515666980377,,,1.2173233135036399,,,,,,,24,14,1.5577305278984568,dinkelbach,-0.0,True,0.15756059143022866,True,0.20278537855635173,40,643.87,True,8.721187217149533,1308.17808257243,15.584503400728849,0.5596063597856871,6.863316183579316,ok
baseline_60p,24,60,700,3.3333333333333335,1.5,56.0,150.0,-22093.549075713992,-22097.79686736538,-4.2477916513889795,0.07079652752314966,126.13,156.57,,8480.587905819808,symmetric,6,4,151.43906974678228,,,136.96278251732787,14.476287229454414,3,67.01999359256203,151.4390697467763,19.981489813573695,64.43758634064059,,,1.1056950433058188,,,,,,,22,16,1.3594462116579962,dinkelbach,-0.0,True,0.03944292103296902,True,0.07079652752314966,20,2632.2,True,10.424635664884757,1563.6953497327136,15.467752658944667,0.6739592942001446,5.043116994059909,ok
baseline_60p,25,60,700,3.3333333333333335,1.5,56.0,150.0,-22859.198222895386,-22862.827563288287,-3.629340392901213,0.06048900654835355,100.37,151.98,,9182.308076341715,symmetric,6,4,163.9697870775306,,,137.91241917099825,26.05736790653234,4,91.81390624478664,163.9697841618655,14.526089811947394,57.62978810513148,,,1.1889414170468848,,,,,,,22,18,2.182276588235254,dinkelbach,0.007784361220623641,True,0.06007553290146461,True,0.06048900654835355,30,3612.25,False,9.657340361659145,1448.6010542488718,15.4985776202922,0.623111397591405,5.841237258633056,ok
baseline_60p,26,60,700,3.3333333333333335,1.5,56.0,150.0,-23152.50619920773,-23155.780564201716,-3.274364993983909,0.054572749899731814,21.4,153.91,,8488.391790883878,symmetric,6,4,151.57842483721208,,,138.6967805097722,12.881644327439894,3,68.33017861583639,151.57842483721203,17.564834715599723,65.68341150577594,,,1.0928763038341203,,,,,,,22,20,1.8254510328970355,dinkelbach,-0.0,True,0.037203578139997265,True,0.054572749899731814,30,1438.69,True,8.49483263427738,1274.224895141607,15.395180328556492,0.5517851985481671,6.900347694279112,ok
baseline_60p,27,60,700,3.3333333333333335,1.5,56.0,150.0,-24483.997928204764,-24494.30903877508,-10.311110570317396,0.17185184283862326,388.53,186.21,,9239.255634479858,symmetric,6,4,164.98670775856888,,,138.87443347989236,26.112274278676516,5,98.08341578118034,164.98670775856883,11.845595765311652,55.05769621207684,,,1.1880279445565287,,,,,,,24,16,3.286184351778502,dinkelbach,-0.0,True,0.11023106163944855,True,0.17185184283862326,48,593.53,True,10.124203393237414,1518.630508985612,15.540943751257705,0.6514535767763832,5.4167403580202915,ok
baseline_60p,28,60,700,3.3333333333333335,1.5,56.0,150.0,-19729.784247531246,-19736.35626540515,-6.572017873902951,0.10953363123171585,51.48,155.37,,9532.652110748344,symmetric,6,4,170.22593054907756,,,135.4407604469165,34.78517010216106,5,92.68873051110869,170.22593054907745,12.481828024334842,65.0553720136339,,,1.256829406357287,,,,,,,24,20,0.29905415292705584,dinkelbach,-0.0,True,0.10324129911788821,True,0.10953363123171585,44,3641.51,False,11.816813219675323,1772.5219829512985,15.577795592103346,0.7585677414887553,3.760982372428023,ok
baseline_60p,29,60,700,3.3333333333333335,1.5,56.0,150.0,-25501.275628185394,-25508.263287737267,-6.987659551872639,0.11646099253121064,79.28,165.56,,9350.945868227423,symmetric,6,4,166.98117621834683,,,139.30176628722023,27.67940993112659,5,90.97681154117532,166.9811762183468,13.968971582010115,62.03539309516135,,,1.1987010694039273,,,,,,,23,15,2.909543894475064,dinkelbach,5.4491626012682736e-06,True,0.09847206944712149,True,0.11646099253121064,29,683.8,True,8.768813225308227,1315.321983796234,15.532324512897267,0.5645525380329932,6.76351128758904,ok
baseline_60p,30,60,700,3.3333333333333335,1.5,56.0,150.0,-26534.96292966164,-26546.269612836935,-11.306683175294893,0.1884447195882482,534.4,169.19,,9222.414861388417,symmetric,6,4,164.68597966765032,,,139.3489108344416,25.337068833208708,5,97.99429345074881,164.68597966765026,13.897858438772403,52.79382777812906,,,1.1818246635835663,,,,,,,23,16,3.3138375200087467,dinkelbach,4.611835567337863e-05,True,0.1095889913296718,True,0.1884447195882482,46,3620.21,False,8.270549400121658,1240.5824100182485,15.505800355179964,0.5333842311054099,7.235250955058307,ok
baseline_60p,31,60,700,3.3333333333333335,1.5,56.0,150.0,-24749.882543517022,-24755.70846184832,-5.825918331298453,0.09709863885497422,407.83,162.4,,8714.179572595058,symmetric,6,4,155.61034951062604,,,138.06156829375806,17.548781216867983,3,79.28640315732645,155.61034951062595,20.632388524789256,55.691557828510255,,,1.1271083722555495,,,,,,,24,19,0.9746478653214581,dinkelbach,-0.0,True,0.03593010297652027,True,0.09709863885497422,33,3614.84,False,8.662643077080297,1299.3964615620446,15.425912703558046,0.5615643782997829,6.763269626477749,ok
